BorderID,Norm_MPI_0.02,Norm_MPI_0.03,Norm_MPI_0.05,Border_Name,Longitude,Latitude
1,0.5110509392758132,0.504707978183013,0.5008544831368474,   Tororo,34.192288,0.679311
2,0.005550993596544988,0.0008956144112288836,2.5229477283587576e-05,   Moroto,34.660772,2.53033
3,0.010195372562274863,0.005563233418474501,0.0025825714975763205,   Kaabong,34.357182,3.505943
4,0.022297011731654433,0.012274587558502614,0.0037198546326603315,   Amudat,34.944752,1.953718
6,0.1706173621887295,0.15279668859864337,0.12984191535343947,Lwakhakha,34.379088,0.798043
7,0.0457311816857955,0.03700074379171136,0.03323081426865997,Suam,34.73511,1.219371
9,0.07919493785544744,0.0953274173128044,0.14962950763477278,   Malaba,34.279695,0.635505
11,0.01470185274777531,0.003997051039820797,0.0008266964139322556,   Busia,34.110898,0.461495
13,0.05025824011708903,0.06251482662633702,0.12158732530943957,Oropoi,34.232261,3.783474
14,0.10337795855256798,0.1206684701415657,0.18350193075368967,Kisumu,34.77767,0.086912
16,0.0436791933388149,0.03986227184726519,0.03319985645123999,   Malaba,34.279695,0.635505
18,0.05025824011708903,0.06251482662633702,0.12158732530943957,Busia,34.110898,0.461495
21,0.0436791933388149,0.03986227184726519,0.03319985645123999,Kisumu,34.77767,0.086912
